Family,Species name,Major group
ROSACEAE,Pyrus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
ROSACEAE,Rosa,Angiosperm
ROSACEAE,Rosa,Angiosperm
ROSACEAE,Rosa,Angiosperm
ROSACEAE,Rosa,Angiosperm
ROSACEAE,Rosa,Angiosperm
URTICACEAE,Urtica,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Amygdalus,Angiosperm
ROSACEAE,Cotoneaster,Angiosperm
ROSACEAE,Crataegus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
ROSACEAE,Sibiraea,Angiosperm
ROSACEAE,Sorbaria,Angiosperm
ROSACEAE,Pyrus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Amygdalus,Angiosperm
ROSACEAE,Amygdalus,Angiosperm
ROSACEAE,Armeniaca,Angiosperm
ROSACEAE,Cerasus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Amygdalus,Angiosperm
ROSACEAE,Armeniaca,Angiosperm
ROSACEAE,Cerasus,Angiosperm
ROSACEAE,Cerasus,Angiosperm
ROSACEAE,Cerasus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Malus,Angiosperm
ULMACEAE,Ulmus,Angiosperm
ULMACEAE,Ulmus,Angiosperm
ROSACEAE,Malus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
ULMACEAE,Ulmus,Angiosperm
ROSACEAE,Cotoneaster,Angiosperm
ROSACEAE,Cotoneaster,Angiosperm
ROSACEAE,Cotoneaster,Angiosperm
ROSACEAE,Crataegus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
CANNABACEAE,Celtis,Angiosperm
ROSACEAE,Crataegus,Angiosperm
MORACEAE,Ficus,Angiosperm
ROSACEAE,Micromeles,Angiosperm
ROSACEAE,Prunus,Angiosperm
MORACEAE,Ficus,Angiosperm
MORACEAE,Ficus,Angiosperm
MORACEAE,Ficus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Malus,Angiosperm
MORACEAE,Ficus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Pyrus,Angiosperm
MORACEAE,Ficus,Angiosperm
ROSACEAE,Prunus,Angiosperm
ROSACEAE,Photinia,Angiosperm
MORACEAE,Ficus,Angiosperm
MORACEAE,Ficus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
MORACEAE,Ficus,Angiosperm
ROSACEAE,Sorbus,Angiosperm
ROSACEAE,Eriobotrya,Angiosperm