Species name,Family,Major group
Pyrus vsevolodovii,ROSACEAE,Angiosperm
Pyrus chosrovica,ROSACEAE,Angiosperm
Rosa isaevii,ROSACEAE,Angiosperm
Rosa abutalybovii,ROSACEAE,Angiosperm
Rosa sjunikii,ROSACEAE,Angiosperm
Rosa jaroshenkoi,ROSACEAE,Angiosperm
Rosa hracziana,ROSACEAE,Angiosperm
Urtica kioviensis,URTICACEAE,Angiosperm
Prunus klokovii,ROSACEAE,Angiosperm
Malus sylvestris,ROSACEAE,Angiosperm
Pyrus hakkiarica,ROSACEAE,Angiosperm
Prunus odorata,ROSACEAE,Angiosperm
Amygdalus susakensis,ROSACEAE,Angiosperm
Cotoneaster karatavicus,ROSACEAE,Angiosperm
Crataegus ambigua,ROSACEAE,Angiosperm
Pyrus asia-mediae,ROSACEAE,Angiosperm
Sibiraea altaiensis,ROSACEAE,Angiosperm
Sorbaria olgae,ROSACEAE,Angiosperm
Pyrus elaeagrifolia,ROSACEAE,Angiosperm
Prunus webbii,ROSACEAE,Angiosperm
Prunus cerasifera,ROSACEAE,Angiosperm
Malus asiatica,ROSACEAE,Angiosperm
Amygdalus pedunculata,ROSACEAE,Angiosperm
Amygdalus mira,ROSACEAE,Angiosperm
Armeniaca mume,ROSACEAE,Angiosperm
Cerasus dielsiana,ROSACEAE,Angiosperm
Malus honanensis,ROSACEAE,Angiosperm
Malus kansuensis,ROSACEAE,Angiosperm
Malus mandshurica,ROSACEAE,Angiosperm
Malus ombrophila,ROSACEAE,Angiosperm
Malus orientalis,ROSACEAE,Angiosperm
Malus prattii,ROSACEAE,Angiosperm
Malus prunifolia,ROSACEAE,Angiosperm
Malus spectabilis,ROSACEAE,Angiosperm
Malus toringoides,ROSACEAE,Angiosperm
Malus transitoria,ROSACEAE,Angiosperm
Malus yunnanensis,ROSACEAE,Angiosperm
Malus zumi,ROSACEAE,Angiosperm
Prunus armeniaca,ROSACEAE,Angiosperm
Prunus argentea,ROSACEAE,Angiosperm
Prunus domestica,ROSACEAE,Angiosperm
Prunus ussuriensis,ROSACEAE,Angiosperm
Malus chitralensis,ROSACEAE,Angiosperm
Malus tschonoskii,ROSACEAE,Angiosperm
Prunus bifrons,ROSACEAE,Angiosperm
Prunus bokhariensis,ROSACEAE,Angiosperm
Prunus canescens,ROSACEAE,Angiosperm
Prunus concinna,ROSACEAE,Angiosperm
Prunus ferganensis,ROSACEAE,Angiosperm
Prunus incana,ROSACEAE,Angiosperm
Amygdalus kansuensis,ROSACEAE,Angiosperm
Armeniaca mandshurica,ROSACEAE,Angiosperm
Cerasus glandulosa,ROSACEAE,Angiosperm
Cerasus nipponica,ROSACEAE,Angiosperm
Cerasus pleiocerasus,ROSACEAE,Angiosperm
Malus muliensis,ROSACEAE,Angiosperm
Malus sikkimensis,ROSACEAE,Angiosperm
Prunus jaquemontii,ROSACEAE,Angiosperm
Pyrus turcomanica,ROSACEAE,Angiosperm
Malus doumeri,ROSACEAE,Angiosperm
Malus halliana,ROSACEAE,Angiosperm
Ulmus glabra,ULMACEAE,Angiosperm
Ulmus laevis,ULMACEAE,Angiosperm
Malus florentina,ROSACEAE,Angiosperm
Prunus fragrans,ROSACEAE,Angiosperm
Pyrus acutiserrata,ROSACEAE,Angiosperm
Pyrus megrica,ROSACEAE,Angiosperm
Ulmus minor,ULMACEAE,Angiosperm
Cotoneaster bumthangensis,ROSACEAE,Angiosperm
Cotoneaster hicksii,ROSACEAE,Angiosperm
Cotoneaster thimphuensis,ROSACEAE,Angiosperm
Crataegus karadaghensis,ROSACEAE,Angiosperm
Sorbus stankovii,ROSACEAE,Angiosperm
Prunus discolor,ROSACEAE,Angiosperm
Pyrus nivalis,ROSACEAE,Angiosperm
Celtis planchoniana,CANNABACEAE,Angiosperm
Crataegus meyeri,ROSACEAE,Angiosperm
Ficus porrecta,MORACEAE,Angiosperm
Micromeles cuspidata,ROSACEAE,Angiosperm
Prunus tenella,ROSACEAE,Angiosperm
Ficus auricoma,MORACEAE,Angiosperm
Ficus subglabritepala,MORACEAE,Angiosperm
Ficus juglandiformis,MORACEAE,Angiosperm
Sorbus turkestanica,ROSACEAE,Angiosperm
Prunus fenzliana,ROSACEAE,Angiosperm
Prunus incisa,ROSACEAE,Angiosperm
Malus toringo,ROSACEAE,Angiosperm
Ficus caloneura,MORACEAE,Angiosperm
Sorbus paucijuga,ROSACEAE,Angiosperm
Sorbus apicidens,ROSACEAE,Angiosperm
Prunus kingdonwardii,ROSACEAE,Angiosperm
Prunus bracteopadus,ROSACEAE,Angiosperm
Pyrus kachinensis,ROSACEAE,Angiosperm
Ficus ridleyana,MORACEAE,Angiosperm
Prunus kaengkrachanensis,ROSACEAE,Angiosperm
Photinia chingiana,ROSACEAE,Angiosperm
Ficus rheedei,MORACEAE,Angiosperm
Ficus quichauensis,MORACEAE,Angiosperm
Sorbus needhamii,ROSACEAE,Angiosperm
Sorbus burtonsmithiorum,ROSACEAE,Angiosperm
Sorbus hudsonii,ROSACEAE,Angiosperm
Sorbus guanii,ROSACEAE,Angiosperm
Ficus travancorica,MORACEAE,Angiosperm
Sorbus spongbergii,ROSACEAE,Angiosperm
Eriobotrya macrocarpa,ROSACEAE,Angiosperm